Url,NGO Name,Popular Name,Year of Establishment,GuideStar URL,Full Time Staff,Full Time Volunteers,Brief description,Annual Expenditure (Rs in lacs),Year for Annual Expenditure,Impact,Profile pic,Organisation Website,Email,Telephone/ Mobile number,Correspondence  Address,Cause(s),Nature of Intervention,Beneficairies,Focus,Area of Operation: State,PAN
https://www.givingtuesdayindia.org/ngo-detail/26956,Aashwasan Foundation,,2006,https://guidestarindia.org/Summary.aspx?CCReg=1382 ,,0,"Aashwasan Foundation is a Registered Charitable Trust that offers Aashwasan ScienceTM as path breaking diagnostic and treatment services to address physiological, psychological, psychosomatic and spiritual issues to bring about complete well-being in an individual. Aashwasan ScienceTM is not only able to identify root cause analysis of the issues and problems. but it is able to bring about a transformatory solution. It is also able help individuals explore, experience and express their maximum potential to live a beautiful life.",,,"1. 29 Areas of Unprecedented Breakthroughs
2. Reached out to 1000 Individuals
3. Awareness spread through the internet media",,http://www.aashwasan.org,info@aashwasan.com,,,Disabled,Direct service,"Accident Victims, Adolescents, Adults, Animal Lovers, Animals / Birds, Children, Chronically Ill, Elderly, Girl Child, Healthcare Workers, HIV+, Juvenile, Medical Practioners, Mentally Challenged, Patients, Physically Challenged, Policemen, Teachers, Urban poor, NGOs",Rural & Urban,DelhiJharkhandKarnatakaKeralaMaharashtra,AABTA8249C
https://www.givingtuesdayindia.org/ngo-detail/27407,AASRAA,AASRAA TRUST,2009,https://guidestarindia.org/Summary.aspx?CCReg=5788 ,18,5,"Aasraa is an education trust established in 2009 to work towards empowering street and slum children through education, vocational training, nutrition, medical care and providing shelter homes.
Our vision is an India where all children are treated equally, are provided a nurturing support system and have access to an education that gives them the confidence and skills to follow their dreams. Our mission is to level the playing field for children who have neither seen books nor stepped into a school. The children we work with come from extremely impoverished backgrounds and are mostly rag pickers, beggars, addicts, runaways and orphans. We currently work with over a 3,351 children.
Aasraa Trust seeks to alleviate poverty in Dehradun by providing the many disenfranchised children in the city with the opportunity to pursue an education. Our organization has crafted a cyclical approach. Our projects include outreach to bring children into basic literacy, street smart to prepare for schooling, sponsorship for education, after school tutorial support, mobile learning centers, anti- begging and vocational training, nutrition, medical, clothing and shelter.
Firstly, we start by reaching out to children in the slums through our outreach team. Then the children are initiated into the first step of our Street Smart education project where we conduct classes within the neighborhood to foster trust and basic education, committed students move to the next step of the program at a facility that provides a more structured classroom environment where the children learn basic Hindi, English, and Mathematics.
Once they have achieved an elementary level education, we help to mainstream these children into formal schools by providing scholarships that pay their school fees and living expenses.
Children who have entered the formal schooling, then become a part of our other project, ‚Wings of Doon‚ which is an after-school program that promotes character building and academic achievement. The children who attend this program also take advantage of tutorials in a wide range of subjects. These complementary projects work to provide children access to schooling and the tools and support to help them thrive academically.
We launched an Anti-Begging Campaign for child beggars in January 2014 in association with the Dehradun District Administration. The goal of the campaign is to discourage child beggary, provide the child beggars with basic literacy, lessons in hygiene, grooming, art therapy, nutrition and medical care. As a part of this project, young adults are provided with vocational training in sewing and block printing as well.
Children who for various reasons are unable to gain entrance into mainstream schools are provided the option of NIOS. We are a study and exam center from the National Institute of Open Schooling for its ‚Open Basic Education Program. We also provide vocational training for young adults to enable them to earn a respectable livelihood in the future.
Working children who do not attend school due to their socio-economic condition are provided basic literacy through our Mobile Learning Centers that are classrooms on wheels teaching through high tech e-learning methods. This is a fun interactive way of learning that keeps the children's interest alive and helps in regularizing them in the classroom setup.
For boys and girls who come from a home environment that is not conducive to their educational pursuit, Aasraa also provides shelter homes.
In addition to this we provide nutritional support and a medical aid that covers children throughout all our projects.",518,FY 2019-20,"In the last 10 years, we have grown from 35 children under the Bindal Bridge to over a 3,351 children across 39 centres in Dehradun.
 649 children have been initiated into basic literacy through the Street Smart program.
The after school support program i.e. Wings of Doon, assists 1,895 children, which include mainstreamed Aasraa
children and students from various Government Schools.
In January 2019, we signed another MOU with the Uttarakhand Education Department for School Quality Enhancement Program (SQEP) allowing us to work with and improve the quality of education in 6 Government Schools in Dehradun. 1021 children have been mainstreamed into local schools; government and private.
Aasraa is accredited by The National Institute of Open Schooling (NIOS) as a study and exam
centre. We are also an accredited Vocational Training Centre by the NIOS; 2 Vocational Training Centres established; 70 youth benefit from these projects.
Aasraa launched 6 High Tech Mobile Learning Centres and 2 Mobile Computer Labs to reach out
to marginalized children of Dehradun district and provide them with interactive e-learning
classes
Aasraa runs an Anti-Begging Campaign in collaboration with the District Administration in the
Central Doon and ISBT areas. 150 children attend this program daily. We feed over 1,500 children everyday.",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1644&eid=27407&fcs=3b5da2cbb579285e4165dd61243346febf13d2889feba4239647015c228462b8_1575212375_168#,http://www.aasraatrust.org,aasraatrust@gmail.com,,,"Children, Disabled, Education, Environment, Healthcare, Livelihoods","Direct service, Support","Adolescents, Children, Girl Child, Homeless, Physically Challenged, Slum Dwellers, Street Children, Urban poor, Youth",Rural & Urban,Uttarakhand,AACTA5133A
https://www.givingtuesdayindia.org/ngo-detail/34010,AASTHA FOUNDATION,,2008,https://guidestarindia.org/Summary.aspx?CCReg=4181 ,4,4,"ABOUT AASTHA FOUNDATION
Aastha Foundation Aurangabad is registered under Bombay public Trust Act and Societies Act and is established in 2008 by a group of young, dynamic, socially aware people with a dream of making positive changes in various areas of our Society.
A detailed study in this area revealed that, there is a need of a centre which will provide a much needed attention, Comfort and care, love, dignity and respect to the Senior Citizens. In today‚Äôs fast paced life where everybody is focused on wining the rat race, we usually tend to over-look our final destination. What really matters is how we spend this golden years of our lives when all our hardship and effort pay off. This is the time when one really looks forward for a life of dignity, safety and care, but life doesn‚Äôt always seem to work on our plans. There are cases where one has a very few options to choose from. There people who have no company of the loved ones who took great care of them all their lives. Some people have only daughters who are now married happily and would not want to disturb them. Some might have sons who are settled in abroad or sometimes there are some personal family issues which don‚Äôt allow them to stay with their family.
And thus, emerged the idea of ‚ÄòBasant Prabha-Visawa‚Äô and it proposes to establish a residential housing and assisted living for the Senior Citizens. This will be constructed as ‚Äò Basant Prabha-Visawa‚Äô on a 3-acre land and will provide twin sharing room with sanitation facilities along with lawn and garden, dining hall and kitchen, meditation room and physiotherapy, counseling and cultural events.
‚ÄòAastha‚Äô believes that ‚ÄòAgeing with Dignity‚Äô is possible. It has organized various programs to address the needs of Senior Citizens, such as health entertainment & making them more and more independent. The programs include Acupressure camp, Walkathon, Eye checkup camps, Bone density checking camp, Stress reliving workshop, Alzheimer awareness. "" ‡§§‡•Å‡§ù‡•ç‡§Ø‡§æ ‡§µ‡§8‡§ö‡•ç‡§Ø‡§æ ‡§ï‡§µ‡§ø‡§§‡§æ "" By Sandip Khare, Aastha Snehi Meet, Joy of Giving with Aastha etc.
Aastha is now conducting CERTIFICATE COURSE IN GERIATRICS in association with TISS
(Tata Institute Of Social Sciences, Mumbai)
So far served 2750 persons, mainly senior citizens. With number of need based programmes. 
Award and Recognition ‚Äì
1. Certificate of ‚ÄúTransparency and Public Accountability‚Äùreceived from Guide Star India.
2. Aastha Foundation, Aurangabad , has been honored with ‚ÄòNGO Leadership & Excellence Award‚Äô. Aastha was felicitated in Mumbai where ABP News presented Global CSR Excellence & Leadership Award 2014‚Äô on the occasion of world CSR Day.",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1338&eid=34010&fcs=ed25985982bd6f59a66ab451104394a65a6f100dc95f80d4c29f17ff28034a2a_1575212377_168#,http://www.aasthafoundationaurangabad.org,h.girish@hotmail.com,91-9822035349,,Healthcare,Direct service,Elderly,,Maharashtra,AACTA4960F
https://www.givingtuesdayindia.org/ngo-detail/28900,Aatmaja Foundation,,2015,https://guidestarindia.org/Summary.aspx?CCReg=9845 ,1,,"We support bright adolescent girls to pursue professional education by providing financial help , guidance and counselling.We are currently supporting 100 girls and plan to support 500 girls in near future",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1339&eid=28900&fcs=783b842bb13fb5ca66fd643a4c6b88f2c799fb7a55b781153a10383a9e167a90_1575212378_168#,http://www.aatmaja.org,priya@aatmaja.org,91-7028009200,"78/3,
Near Vinode Nagar, Marunji Road    Pune, 
Wakad, Maharashtra  411057",Education,Support,"Girl Child, Adolescents",Rural & Urban,,AAETA6901G
https://www.givingtuesdayindia.org/ngo-detail/28384,Abha Mission for Social Health and Education,AM SHE,2007,https://guidestarindia.org/Summary.aspx?CCReg=5498 ,6,14,"Abha Mission for Social Health and Education is 'of the people, by the people and for the people'; registered under W.B.Societies Act,1961 & member of India Govt. NGO Partnership System; work for rural development, children education, women empowerment; located in Kolkata, West Bengal.",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1340&eid=28384&fcs=ece0097c094832fbbcb33ea75617e718471b3a4f75fe8ab447c27ef42e5f75c8_1575212380_168#,https://abha-mission-she.webs.com/,abhamission@gmail.com,91-9903290696,,"Children, Education, Healthcare, Women",Direct service,Adults,Rural & Urban,West Bengal,AABAA5545N
https://www.givingtuesdayindia.org/ngo-detail/34080,ABHILASHA FOUNDATION,ABHILASHA FOUNDATION,2014,https://guidestarindia.org/Summary.aspx?CCReg=5780 ,10,145,"Orphanage Support
Medical Support
Educational Support
Old Age Support
Women Empowerment
Save the Girl Child",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1341&eid=34080&fcs=cee64dc8b6efed208b2cdc3e2ffe056065254db626bde89e281edb58e21024a6_1575212382_168#,http://www.abhilasha-foundation.org,info@abhilasha-foundation.org,,,"Children, Education, Elderly, Healthcare, Women","Support, Network, Grant-making","Urban poor, Chronically Ill, Construction Workers, Children, Homeless, Orphans, Elderly, Girl Child, Street Children, Beggars, Migrants, Slum Dwellers, Tribals",Urban,Maharashtra,AAETA2987L
https://www.givingtuesdayindia.org/ngo-detail/34088,ABHINAV,,1993,https://guidestarindia.org/Summary.aspx?CCReg=6072 ,21,160,"With the sole objective of serving the society and uplifting the deprived sections, ABHINAV, a non government organization, registered under societies Act 21, 1860 is continuously rendering services since 1993 for the betterment of living standards of the underprivileged and poor rural peoples with special attention towards women and children. We are highly involved in many activities like, education, training, women empowerment, health and hygiene, old age, community development, safe drinking water, etc for changing the lifestyle of the rural peoples.",,,"1. Training and employment generation program = 384143
2. Construction of individual toilets for poor family under flush n pride = 13158
3. Construction of world class public complex= 8
4. Construction of drinking water supply scheme= 49
5. Provider of Safe drinking water to villagers = 300000
6. Health and hygiene kit distribution =2000
7. Vaccination to mother and child =19070
8. Referral service =5916
9. Curative treatment to male, female, and child = 33442
10. Motivate to adopt family welfare methods = 15788
11. Establishment of farm schools in villages = 12
12. Farmer training =44
13. Formation of farmer information groups =109
14. Farmer demonstration on agricultural practices =400
15.F to F demonstration=23
16.Exposure visits of farmer=25
17. Seed money to smallfarmers=70
18. Construction oflow cost recharge pit=25
19.Testing of hand pumps=3945
20. Number of Red marked Hand Pumps=161",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1342&eid=34088&fcs=1bbbbf6ca68af3649dfd0bf2e670d9369690d75cafbbdc02066ae1a31619b06d_1575212384_168#,http://www.abhinavindia.org,abhinavngo7@gmail.com,91-8057901700,,"Children, Education, Elderly, Healthcare, Livelihoods, Women","Direct service, Network, Support, Advocacy & Campaigning","Adolescents, Adults, Children, Elderly, Farmers / Farm Labourers, Street Children, Students, Women, Youth",Rural & Urban,Uttar Pradesh,AAAAA4588Q
https://www.givingtuesdayindia.org/ngo-detail/26653,Abhoy Mission,"Formerly all Tripura Scheduled Castes, Tribes & Minority Upliftment Council",1991,https://guidestarindia.org/Summary.aspx?CCReg=808 ,20,38,"Abhoy Mission is providing services to the destitute senior citizens with mental illness, Schizophrenia, Parkinson patient for permanent rehabilitation & orphan children with disabilities. It is providing well-structured & multidimensional services in the field of skill & manpower development creating employment scope taking the community at large into account. Our mission is to reduce the incidence of disability in the State and to grow confidence in the mind of the senior citizens.",,,"1. Successfully Cornea Transplantation in one eye to one Deafblind girl child of our orphanage.
2. Winner of Manobikas Puraskar 2014 in the category of Best NGO working in the field of disability in the North East India.
3. Four individuals, who are only earning member of the family, suffering from cancer are living in better condition with financial support from our organization.",https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=650&eid=26653&fcs=3591e1fbeae45528b37062665340707c725666d199445c0fc53ee6a620ab0032_1575212386_168#,http://www.abhoymission.org,abhoymission@rediffmail.com,91-9436123069,"Abhoy Mission, Ramnagar Road No. 1, P.O - Ramnagar, Agartala, Tripura - 799002,
Ramnagar Road No.-1, Agartala, Tripura West, Pin-799002    West Tripura, 
Agartala, Tripura  799002","Children, Disabled, Education","Intermediary, Advocacy & Campaigning, Support, Network, Direct service","Physically Challenged, Chronically Ill, Children, Homeless, Orphans, Elderly, Girl Child, Adolescents, Street Children, Displaced Persons, Adults, Students, Teachers, Patients, Beggars, Youth, NGOs, Mentally Challenged, Women",Rural & Urban,Tripura,AACTA4128R
https://www.givingtuesdayindia.org/ngo-detail/38431,"Academicians Association for Liberation, Peace and Education",AALPE,1992,https://guidestarindia.org/Summary.aspx?CCReg=11042 ,21,43,"Academicians Association for Liberation, Peace and Education (AALPE) is Voluntary Service Organisation, registered under the Societies Registration Act, XXI of 1860 vide Registration No. 993/92 of Kakinada, East Godavari District, Andhra Pradesh, India.The Administration Office is situated at H.No.15-4-5/4, Luthergiri Campus, Rajahmundry – 533 105, East Godavari District, Andhra Pradesh, India.The Organisation is very much concern over Health, Education, Environment, Social justice, Women and Child Development. So far we have touched and made a difference in the lives of over 1,00,400 people",,,,,http://www.aalpe.org,aalpe.org@gmail.com,,"15-4-5/4, Akasapu Krupa Nilayam,,
Luthergiri, Municipal Colony    East Godavari, 
Rajahmundry, Andhra Pradesh  533105","Children, Education, Emergency Relief, Environment, Healthcare, Women","Direct service, Support, Advocacy & Campaigning","Adolescents, Adults, Children, Commercial Sex Workers, Construction Workers, Dalits, Disaster Affected, Elderly, Factory Workers, Farmers / Farm Labourers, Girl Child, Healthcare Workers, HIV+, Juvenile, Migrants, Rural Poor, Slum Dwellers, Street Children, Students, Teachers, Tribals, Urban poor, Women, Youth",Rural & Urban,,AABTA0593K
https://www.givingtuesdayindia.org/ngo-detail/27784,Access Life Assistance Foundation,Access Life,2014,https://guidestarindia.org/Summary.aspx?CCReg=7052 ,4,8,"Access Life Assistance Foundation discovered a huge unmet need to provide a safe and clean atmosphere for children to recover during their Cancer treatment. These children, along with their families, travel to Mumbai from remote towns and villages, in the hope of being treated at hospitals such as Tata Memorial, LTMGH (Sion Hospital), Wadia Hospital, Nair Hospital etc. where they receive free of charge treatment.
But they have no place to stay, and many end up on the footpath, or paying dearly for unhygienic accommodation. Unhygienic living conditions, lack of psychosocial support, lack of proper nutrition and weakened immune systems will lead to lower survival rate.
At Access Life, we provide free of cost accommodation with hygienic and high quality living environment for the children and their parents.",,,,https://www.givingtuesdayindia.org/civicrm/file/imagefile?id=1343&eid=27784&fcs=b3e01141c7493afc5c3af228ccc3a1a758a0035c375761b9957c430d2eccb7d7_1575212389_168#,http://www.accesslife.org,girish@accesslife.org,91-9167755565,,"Children, Environment, Healthcare","Support, Direct service","Chronically Ill, Children",Rural & Urban,Maharashtra,AAMCA9705B
