,Names,Cause,State,Description,Phone,Address,Email,URL
10,Salaam Bombay Foundation,children,Maharashtra,"Salaam Bombay Foundation (SBF) was founded in 2002 with the philosophy and belief that the only way to invest in the nation's future is to invest in its children and in their health and education. Children also need to be guarded from risks to their health, especially tobacco which has a high prevalence in children and youth. SBF is focused on engaging Mumbai's most vulnerable ""at risk"" children through in-school programmes (leadership and advocacy) and after-school academies (skill building) that help build their confidence, self-esteem and commit them to stay in school while staying tobacco-free. Salaam Bombay's vocational development academies help children to contribute to fluctuating family incomes and encourage their families to continue their education while planning for a stable future. Their programmes started from 230 schools in Mumbai and grew to over 15,000 schools in Maharashtra alone training over 60,000 teachers. They have now sown seeds in 5 states across India.Padmini Somani has a B.A in Economics from Sophia College, Mumbai and MSc. in Financial Economics from the University of London, U.K. She is an alumnus of the London School of Economics and London Business School. Padmini Somani has been active in health programs, particularly cancer and tobacco control for over two decades. She is the vision behind Salaam Bombay Foundation that she founded in 2002, working with more than 2.9 million children across Maharashtra alone making it the largest preventive program in tobacco control in India.Sponsor skill development via journalism and photography",+91 02261491934,"Nirmal Building, 1st Floor, Nariman Point Mumbai 400021 Maharashtra",shruti.sharma@salaambombay.org,https://www.giveindia.org/nonprofit/salaam-bombay-foundation
11,Head Held High Foundation,education,Bangalore,"Head Held High is an NGO founded in 2007 with the purpose to eradicate poverty. The aim is to wipe poverty off the world beginning with India. Through the Make India Capable (MIC) and Global Action On Poverty(GAP), the organisation aims to build and support changemaking communites to eradicate poverty. The flagship programme, Make India Capable trains the rural and urban youth with vocational skills, knowledge and way of being. With 8 trainees in 2007, the organization now has a widespread reach of more than 65 training centres in the country.",+9742947041,"Head Held High Foundation, No - 172, 1st Floor, 9th Cross, 5th Main Road, Indiranagar-560038 (Land Mark - Opposite Kairali Nikethan High School Main Entrance.)",deepti.natarajan@head-held-high.org,https://www.giveindia.org/nonprofit/head-held-high-foundation
12,Senior Citizens Bangalore,education,Karnataka,"Senior Citizens Bangalore was started by a group of retired defence personnel along with a bunch of corporate professionals to empower underprivileged children and mold them into leaders of tomorrow. Over a period of time, the mission of the organization inspired other like-minded retired individuals from the public and private sector.  They work towards making quality primary and high school education available to meritorious children who otherwise wouldn't have been able to continue with their education owing to their underprivileged backgrounds. They help such students and handicapped children in rural areas around Bangalore procure educational loans as well.  The team at Senior Citizens Bangalore believe every child has the potential to become nation-builders of tomorrow and opportunities need to be made available to them, free of all religion, caste, creed and community-based barriers.Sponsor college education for a meritorious girl",+91 08025280616,"#98/F7, Second Floor, Skylark Palazoo,  Old Airport Road,  Murugesh Palya,  Bangalore 560017 Karnataka",sastryva123@gmail.com,https://www.giveindia.org/nonprofit/senior-citizens-bangalore
13,Akhanda Seva for International Shanti (Operation Shanti),children,Karnataka,"Operation Shanti is an America based NGO that focuses primarily on providing the basic amenities to the unprivileged sections of our society. It has been working to give a roof and meals to the unsheltered families of Mysore, Karnataka.  Project Street provides home and medical attention to destitute men, women, and kids. It relocates them into homes from the streets and provides medical assistance to those struck with HIV/AIDS. Project Food & More (PFM) provides monthly care packages to homeless families affected by medical hardship.  Under Project Home, Karuna Maye is a shelter for children that aims at improving their lives by providing them with food and school tutoring. Kids who have been orphaned and left to beg on the streets with their mothers are taken into a shelter and given a life of a middle-class child, as they deserve. Suma and Surya are one of those few kids whose lives have been transformed by Karuna Maye. The right guidance has landed Suma in a college and Surya speaks fluent English now. Operation Shanti is incessantly working to improve the lives of these people, as it believes that everyone deserves a right to live to their full potential.",+91 821 2598160,"#1525 Sharadanikethan Road,  Roopa Nagar, MK Halli Post Mysore 570026 Karnataka",tracyk223@pm.me,https://www.giveindia.org/nonprofit/akhanda-seva-for-international-shanti-operation-shanti
14,Ashadeep Association,children,Maharashtra,"Ashadeep Association is a charitable organization that works towards enhancing the lives of the deprived and needy single parent children, orphans, handicapped and widows. Their activities are channelized through the 7 day care centres located in the western suburbs of Mumbai. The children are provided nutritious food, education and clothing, without separating them from their parents and their environment they are used to. The prime focus of the organization is to provide formal education to the children so that they have a bright future.",+91 22 28353880,"B002, Shakti Apartments, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai 400099 Maharashtra",ashadeepassociation@gmail.com,https://www.giveindia.org/nonprofit/ashadeep-association
15,SGBS Trust,education,Karnataka,"Parents of the underprivileged have great dreams for their kids. But, these dreams are often accompanied by fear; fear of financial requirements, discrimination etc. Hence, with a vision to serve different sections of society, in the year 1978, Sree Guruvayurappan Bhajan Samaj Trust (SGBS) was established.The underprivileged could avail their educational benefits with the help of the organizations initiative- Shiksha. Shiksha provides educational assistance to more than 350 children per year. It extends financial support to the underprivileged children to continue their education.With the increasing unemployment, the organization also focuses on providing vocational training to the unemployed youth. SGBS provided accommodation and food facilities to hundreds of youth.More than 400 were guaranteed job placement.SGBS mission to move with society towards serenity is supporting hundreds every year by providing them with life skills. The organization aims to train one million youth by 2020.Sponsor the scholarship of a poor student",+91 80 25384642,"No. 1 (p), Temple Road,  Sadananda Nagar, NGEF East,  Bangalore 560038 Karnataka",sivakumar.sri@unnatiblr.org,https://www.giveindia.org/nonprofit/sgbs-trust
16,Bani Mandir,elderly,West Bengal,"The mission of the organisation is to look after destitute orphan children, poor school going children, and isolated elderly persons and to empower women by upgrading their socio-economic status.A few local school teachers took the initiative to set up a platform where they could render help to poor and needy people in distress; thus Bani Mandir was established in 1945 August.69-year-old Somendra Nath Mandal graduated from Calcutta University and has working for the poor since 1965. He became General Secretary in 1973. Almost all the developmental work done by Bani Mandir is in remote villages of West Bengal and through his efforts. He believes that service to the poor and helpless is the service to the nation.Bani Mandir focuses on developing the potential of women and girls to drive long lasting equitable changes. They emphasize on promoting quality healthcare, inclusive education, gender equitable and sustainable livelihood opportunities, disaster relief and preparedness. Their efforts are focused on fighting against underlying causes of poverty and ensuring a life of dignity for all women and girls from marginalized and vulnerable communities, especially among Dalits and Adivasis. Bani Mandir also works with the elderly by providing them nutritional support because they are largely ignored by their families. In 2016, NGO was awarded the Award of project ASTITVA by the Helpage India Significant achievement in the services to the elderly persons.No of rural youth helped for one year/six months computer training programme - 19No of secondary students who received books - 942No. of poor students who received tutorial support - 236No of children below 5 years supported in 4 Creches -100No. of elders who got free eye check up - 1136No. of poor people assisted through Ambulance service - 215No. of elders provided with Spectacle - 225No. of children getting sponsorship for health, education, nutrition and family assistance - 1046No of adolescent girls covered in 1 day health education & counselling - 140No of poor elderly people covered in medical clinic - 851No of orphan/needy children who received food & health care support - 1046No. of elders helped for cataract operation and free spectacles - 123No of pregnant woman who are supported with nutrition and health checkups - 24No. of able elders who joined in elders ESHGs and benefited with Saving & Credit scheme - 791No. of Women empowered through 378 SHGs - 4536No of poor villagers who received a cycle rickshaw for a livelihood - 11No of aged persons who are receiving monthly supply of grocery & medical care - 333Sponsor the grocery and medical care for poor senior citizens. In 2016, NGO was awarded the Award of project ASTITVA by the Helpage India Significant achievement in the services to the elderly persons.No of rural youth helped for one year/six months computer training programme - 19No of secondary students who received books - 942 ",+91 94744 95425,"Village Khordanahala P.O. Sadhurhat, South 24 Parganas 743504",banimandir06@rediffmail.com,https://www.giveindia.org/nonprofit/bani-mandir
17,Balajee Sewa Sansthan,environment,Uttarakhand,"Things just don't happen automatically, you have to make them happen"" quotes the main force behind the planning, management and operations of Balajee Sewa Sansthan (BSS). BSS was started in the year 2002 by joint efforts of some friends. With a commitment to work for the poor and disadvantaged people in north India. BSS's promoter and Executive Director, Mr. Awadhesh Kumar is well versed when it comes to the field of livelihood generation, micro-finance, and co-operative promotion. Mr. Kumar was the Director of Finance & Accounts and earned valuable experience in financial management. He is acknowledged for his leadership and communication skills together with excellent team supervision. His enormous experience in the preparation and implementation of challenging development project in interior rural areas is being well utilized in BSS. BSS believes that every life has equal value and right to live with dignity. Their belief takes them towards serving fellow human beings with utmost dedication and compassion. As Mr. Kumar says, ""It's not just the end that matters, but also the means,"" the organization is recognized till date for its work in several projects and its capability to reach and meet every need.Light up the life of poor family with a solar lamp Near Chandrabani Chowk,  Dehradun 248002 Uttarakhand",+91 135 2641388,"127, Subhash Nagar,  Near Chandrabani Chowk,  Dehradun 248002 UttarakhandPhone : ",awadh.kpal@gmail.com,https://www.giveindia.org/nonprofit/balajee-sewa-sansthan
18,Society For Child Development,differently abled,Delhi,"Driven by the conviction that there is a way to create a world of equal opportunities for people with disabilities, the Society for Child Development (SFCD) was set-up as a non-profit organization in 1992 to establish programs and initiatives for its actualization. Prabhat, a school for children with learning difficulties was set up with an aim to provide students with an educational and training facility that would assist them in acquiring basic living and academic skills. At the age of 18, students transfer to the Vocational Training Center to learn market-driven skills and crafts.  But the road to development is not about school and vocational education alone, and SFCD embarked on a unique website called the Disability India Network. Encouraged by the enthusiastic responses, they added an Online Legal Aid Cell which provides pro-bono counsel to the differently-abled and their families. To expand the scope and extend their reach further, they also set-up a Parent Support Network to provide a forum for parents to benefit from each others' experiences. Because of this expansion, the Society for Child Development now includes a variety of programs and initiatives to promote the rights of persons with disabilities from several angles.Support the meal expenses of a special needs person",+91 89207 62148,"D-13 Kamla Nagar, New Delhi 100007 Delhi",sfcdaccounts@gmail.com,https://www.giveindia.org/nonprofit/society-for-child-development
19,Swasth Foundation,health,Maharashtra,"Swasth Foundation is a not-for-profit social enterprise established in 2009 with the vision of Health and Joy for All. Their mission is to Build a sustainable and accountable health eco-system with joy.Swasth's first goal is to build a sustainable and accountable health eco-system for the city of Mumbai which is home to ~30 million people. Towards this goal, they run the following interventions:1) A network of primary health care centers to provide accountable, affordable and accessible primary health care services to reduce out-of-pocket expenditure by over 50%2) A network of wellness centers focused on enhancing the state of physical, social, mental and emotional well-being of people through interventions like courses, classes, workshops and 1-1 interactions designed based on integration of various modalities of well-being like Yoga, Ayurveda, Nutrition, Counselling, Coaching, etc.3) An action research Institute that designs, develops, implements and standardises interventions based on evidence towards completing the health eco-system. Currently, the Institute is looking to build a new cadre of health professionals called as Health Coaches who become the first point of contact for any health need.Each of their programs provide services at an honest price and has the potential to recover its operating cost and become financially sustainable through the collections from people. The organization has established proof of concept of self-sustainability in their primary health care centers. Swasth Foundation work towards their Mission through these program driven by their Motto - ""Be Healthy, Be Joyful (Swasth Raho, Aanandit Raho)"" and anchored in their Core Values.All of their policies and processes are designed with their Core Values as the starting point. Subsequently systems and mechanisms for the implementation, monitoring and enforcement of these policies and processes are created to enable a culture fostered by these values.",+91022667127,"439, Mastermind 1, Royal Palms Estate, Aarey Colony, Goregaon East, Mumbai, Maharashtra, India, Pin - 400065",info@swasth.org,https://www.giveindia.org/nonprofit/swasth-foundation
20,Abhoy Mission,differently abled,Tripura,"A group of like-minded people from Tripura joined hands to do some philanthropic work in the state in 1988. After three years, they got their group registered as Lian ll Tripura Scheduled Castes, Tribes & Minority Upliftment Council In March 2008 the name of the organization was changed to Abhoy Mission. Since its inception, the organization has been associated with various welfare and development activities. Mr. Shyamal Deb, the founder, and head of the Organization possesses special knowledge and skills in the field of disability and senior citizens. His tireless endeavour and dynamic efforts has brought about radical changes to set the organization on its onward orbit since the year 1988. He has dedicated his good services for the welfare of the persons with disabilities and senior citizens. The mission of the organisation is to make the society disability free, educative, trained and totally fit for survival. They strive to vie with all adversities to serve this mission. Close to a 1000 senior citizens receive health care, medical allowance and ration items. Over 450 children with multiple disabilities receive home based life skill training. 60 children with special needs are being given education at the organisation. Abhoy Mission has also helped 38 differently abled people with disabilities get registered in the Niramoya Health Insurance program. In 2015, Abhoy Mission was awarded the Manovikas Puraskar by the Manovikas Kendra, Kolkata For Outstanding Performance in Disability Welfare.",+91 381 2338607,"Ramanagar Road No. 1, P.O Ramanagar, Agartala 799002, Tripura",abhoymission@rediffmail.com,https://www.giveindia.org/nonprofit/abhoy-mission
21,ICARE Eye Hospital & Post Graduate Institute,health,Uttar Pradesh,"ICARE was established with the aim to provide quality ophthalmic services of International Standards to all sections of society at an affordable cost. With 2 centers at Noida, state-of-the-art equipment and highly skilled workforce they provide comprehensive diagnosis, treatment and surgical services covering the entire range of ocular sub-specialties that are comparable to international standards. As an NGO, their Outreach Program provides the same standard of eye care to the underprivileged rural population in the community. This program arranges around 900 screening camps and treats approximately 150,000 people annually for eye disease. They perform around 15,000 surgeries annually that are either free or at a very subsidized cost.  Their valuable support was acknowledged by the Uttarakhand State Ophthalmological Society when they were awarded the Community Ophthalmology Award. Envisioning a practice to excel in cutting edge technology in eye care, education & research in ophthalmology, ICAREs staff of 210 believes in delivering quality and ethical medical and surgical eye care services.Be the reason a senior citizen can see the world",+91 120 2477615," E-3A, Sector 26,  Gautam Budh Nagar  Noida 201301 Uttar Pradesh",triptipal@icarehospital.org,https://www.giveindia.org/nonprofit/icare-eye-hospital-post-graduate-institute
22,Tropical Research & Development Centre (TRDC),environment,Karnataka,"The issues of acute poverty, resource degradation, ill health, illiteracy and lack of awareness on various aspects of development among the rural communities have prompted few like-minded people from various walks of life to start Tropical Research and Development Centre. The mission of TRDC is 'Universal Access to Resources without Discrimination' Tropical Research & Development Centre's Paryavaran project, which is run in the Western Ghats and Mysore Districts intends to address the issues of climate change by working in collaboration with local farmers. This is done through regeneration, enrichment of plants in deforested areas, promotion of eco-friendly boiling water chulas, enhancement and restoration of wetlands and water resources, and conservation of wildlife.  Tropical Research & Development Centre's (TRDC) Asha Kiran project focuses on enrollment, retention, quality education and child rights in rural Government schools in Ranibennur Taluk, Karnataka.No. 67, Ist Main, 3rd Cross, Nagarabhavi 14th Block, IInd Block, Bangalore 560072 Karnataka",+91 80 23182748,"Ranibennur Taluk, Karnataka.No. 67, Ist Main, 3rd Cross, Nagarabhavi 14th Block, IInd Block, Bangalore 560072 Karnataka",krupa.trdc@gmail.com,https://www.giveindia.org/nonprofit/tropical-research-development-centre-trdc
23,Peepul,education,New Delhi,"Peepul is a non-profit educational organisation founded on the belief that good quality education is a right and not a privilege. The organisation wants to help transform the education system that serves the poorest of the poor, i.e. the government education system, so that every child in this segment can have an education system that helps them realize their potential. The principle that unites Peepul in all their endeavours is - ""We put children first. All our actions are driven by what is best for the children we work for"".",+919586708992,"A142, Neeti Bagh, Ground Floor, Opp Father Agnel School, New Delhi - 110049",shuvopriyo.roy@peepulindia.org,https://www.giveindia.org/nonprofit/peepul
24,SankalpTaru Foundation,environment,PAN India,"SankalpTaru Foundation, as the names suggests, is an e-NGO or an IT enabled NGO, as you may call it, active across 18 Indian cities with its pledge to plant trees for the people, by the people. The organisation believes that planting trees has many benefits, ranging from the power to fight pollution, strengthening the livelihood of farmers, to increasing the life expectancy of our planet.With the mission to create a clean, green and healthy planet and a vision to enrich the biodiversity with lush green plants, SankalpTaru works with all their capabilities to plant as much trees as possible so that our present as well as the future generations can have a bio-diverse sustainable environment.Since the plantation drive is for the people, by the people, SankalpTaru uses geo-tagging and other advanced environmental techniques in order to make it easier for people to track their planted trees. The plantation drive majorly consists of four operational models, namely Rural Livelihood Support Program, Clean and Green School Program, City Based Plantation Program, and Community Land Plantation Program. All of the operational models are based on constantly escalating happy smiles through healthy trees.environmentKarnatakaPlant a tree to support the rural farmers",+7728088854,"Dhoran Rd, Doon IT Park, Kishanpur, Dehradun, Uttarakhand 248001",simar@sankalptaru.org,https://www.giveindia.org/nonprofit/sankalptaru-foundation
25,Bhumi,children,Tamil Nadu,"Three like-minded friends in the year 2006 related closely to the need for quality education and believed a solution that creates educationally empowered youth capable of active participation and development of the community they belong to will make them self-reliant, and self-sustainable. Thus, Bhumi – India’‘s largest independent youth volunteering organisation was established in the year 2006 with a vision to help build a more influential, equal and socially conscious society and a mission to drive social change by fostering an environment where young adults & children learn, lead and thrive. Bhumi as a platform enables over 20,000 volunteers in over 12 cities across India for causes like education, environment, animals and community welfare. With an aim to render quality education, Bhumi provides comprehensive educational support for over 25,000 underprivileged children across India to help them break the cycle of poverty. Bhumi bridges the gaps in formal education and opportunities by providing language and STEAM education, life-skills support and scholarships for higher education:-        through volunteers at orphanages during weekends-        at low-income (private and government) schools with development support for teachers-        education at after-school community centres in urban slums Most of our volunteers are students or working professionals under the age of 30 and go through mandatory orientation and in return gain immensely through our Leadership programme. Through this platform, the volunteers progress to more leadership roles and responsibility where they switch to education sector from the experiences gained from Bhumi. While holistic education is imparted to the children, Bhumi’‘s young volunteers are also transformed into socially conscious leaders in the education sector.",+91 91765 22821,"3/2, Karpaga Vinayagar Kovil Street, Alandur, Chennai, 600016",shilpa@bhumi.ngo,https://www.giveindia.org/nonprofit/bhumi
26,Christel House India,education,Karnataka,"If you give a man a fish, you feed him for a day; teach a man to fish and you feed him for a lifetime is the philosophy on which Christel House India operates. Their vision is to help the children break the shackles of poverty and make them independent and productive for the nation. Since no one chooses to be poor, Christel House is designed to transform the lives of these impoverished children. After being a part of Christel House Learning Center, the outlook of the children coming from a weak financial background has completely changed; they are now more hygienic and enthusiastic about studies and excel not only in classroom studies but extra-curricular activities too. Christel House Learning Center is a place where children are not only fed, educated and given health care but values like respect, responsibility, integrity, a love for learning are inculcated in them to maximize their human potential. They focus on the holistic development of the child so that they can live with dignity and pride. 879 Students (5 - 18 years) are receiving free of cost quality education, medical care, and nutrition in Christel House Learning Centre as of now.Gift tuition and medical expenses of a poor childGift school supplies to a poor kidGift quality education to Narasimha",+91 80659 79122,"Bellahalli Road, (Off Hennur Road), Kannur Post - Via Bagalur, Bangalore East 562149",pramod@christelhouseindia.org,https://www.giveindia.org/nonprofit/christel-house-india
