Url,Name,NGO Name,Collected (in $),Target (in $),Donations (in $),Description,Challenge,Solution,Long-Term Impact,Location,Website,Facebook,Twitter
https://www.globalgiving.org/projects/old-age-home-for-abandoned-elderly-women-in-india/,Old age home for 300 abandoned elderly women,Maitri India,363980,400000,3247,"Vrindavan, a holy town, is home to appx.15,000 widows abandoned & destitute. Abandoned by their families, they end up begging for survival. With your support, Maitri has built & furnished two ashrams in Vrindavan & Radhakund, providing shelter, food, clothing, & healthcare to 150 resident widows & 100 widows living in the neighborhood. Your donation will help provide them with essentials for a dignified & healthy living as well as skill them for livelihood opportunities. You make a difference!","Many elderly women in India suffer from poverty, isolation and social exclusion. In particular, elderly widowed women are often denied even basic rights such as food, health-care and are thrown out of their homes by their families.Thousands of such aged widows congregate in India's holy city, Vrindavan, where they usually spend the rest of their lives in austerity, begging for food and living in hovels with no electricity and running water. This project seeks to restore dignity in their lives.","Maitri India's old age home offers a safe, hygienic and comfortable home for 150 elderly widowed women in 2 co locations. It provides them essentials for life including daily meals, nutritional supplements, clothing and healthcare. Moreover, it will facilitate skill development, income generation and secure citizenship rights and government-provided benefits. Maitri also ensures the widow mothers' dignity in death through conducting their last rites in accordance with their religious belief.","Our project will provide 150 aged women shelter within a supportive and comfortable environment. And provide additional 100 widows meals, health supplements, and enabling access to general and multi-specialty healthcare. These women will be able to lead healthier lives. In addition, the project will help increase their socio-economic independence by facilitating access to citizenship rights and opportunities for vocational training, skill enhancement and employment.","New Delhi, Delhi - India",http://www.maitriindia.org,https://www.facebook.com/Maitri,https://twitter.com/Maitri NGO
https://www.globalgiving.org/projects/build-bright-future-for-750-marginalized-girls/,Build Bright future for 750 marginalized Girls,Rajasthan Samgrah Kalyan Sansthan,28230,35000,315,"This Project Will provide a Sustainable Livelihood to 750 marginalized Girls of 15-24 age Group & 18-35 (youth) age group by Vocational skill training of Computer Education, Beautician, fashion designing & Sewing, Handicraft and Hand Bag making etc. Bank loan will be providing through the project in order to settle self employment unit whereby the marginalized Girls of Rural area will get Better and Golden future.","According to Indian Government's Report of 2011, the total population of 15 to 24 years old unemployed youth is 46.9 million. Due to unemployment most youth take unethical way for livelihood as prostitution, thievery, smuggling, addiction etc. Social evils such as Child marriage, Dowry system, Female feticide, purdah system etc. are also main problems in the project region. The marginalized girls stricken by Poverty, unemployment and economic problems are miles away from Basic need.","The Project will Help the Marginalized, Deprived 750 Girls in providing Employment (or to be Self Employed) by Skill Development ( Beautician, Sewing, Handicraft, Bag making training and Computer Education etc.) so that the problem of unemployment will end, and Poor Girls of the deprived community will get Sustainable Livelihoods, the Girls will Become self-conscious which will be Helpful to eradicate the social evils from the society.",The Living Standard of 750 Girls will get better through Vocational training. The Girls will be able to Settle self-employment by skill development which will Help to Empower them Economically. The girls will found their own employment with the help of skill development. Poverty will end and the lives of marginalized girls will be prosperous.,"Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/udayan-shalini-fellowship-programme/,Empower 50 needy girls in India through education.,Udayan Care,58483,99000,998,"The Udayan Shalini Fellowship Programme is a distinctive higher and professional education and personality development programme. It addresses the grim situation of girls' education in India by achieving their overall development via monetary and individual mentoring support. Since 2002 we have reached out to close to 6192 girls, called Shalinis (Dignified Women), who are now either economically independent or moving towards it. Currently, we are looking for support for 50 aspiring girls.","In India, large number of deserving girls from weak socio-economic background are not able to access higher education. They drop out from the education stream due to lack of resources, awareness and guidance. Social, cultural and parental pressure to support the family or get married early, force the girls out of school. This leads to a sharp decline in number of girls completing high school and  those completing college in India, thereby increasing gender inequality in the society.","Each Fellow stays in the programme till she finishes her higher education, which is an average period of 5-6 years. The programme is a unique initiative that goes beyond monetary assistance to support the overall development of girls by taking care of their college education financially and providing them individual attention, career counselling and regular mentoring; to widen their scope of opportunities, ensure their social and economic independence and help them develop social sensitivity.","The project will closely map the progress of 50 deserving and talented girls from weak socio-economic background into empowered and dignified women or Shalinis. Since 2002, USF has benefited close to 6192 such girls in India facilitating their transformation into educated, employable, socially responsible women; many of whom are studying  or have already become engineers, doctors and chartered accountants or working in prestigious companies and many becoming mentors and donors themselves.","New Delhi, Delhi - India",http://udayancare.org/,https://www.facebook.com/UdayanCare,https://twitter.com/#!/udayancare
https://www.globalgiving.org/projects/empowering-poor-women-with-sustainable-livelihood/,Empowering Women's with Sustainable Livelihood,Rajasthan Samgrah Kalyan Sansthan,30670,45000,529,"Under this project, 500 poor Women will be connected with banks by Self Help Group, who are living below poverty line (BPL). Here training would be provided in the area of goat farming, organic manure, dairy, stitching, art of handicraft etc, for increasing their self-confidence level, livelihood growth and empowerment.","Rural people in Ajmer district of Rajasthan are uneducated, socially and economically weaker section and dropout from the school. This kind of rural people is mostly depending upon her husband or father for their needs. The poor and rural people included farmers dropout women's girls artisans communities forcible migrating to different places (Like sex trade, construction workers, daily wages etc.). Agriculture is also zero due to decreased water level.","Self help group  will be helpful for increasing the confidence, unity, social awareness, understanding and leadership qualities among women. Skill development, capabilities enhancement and development of their living standard and livelihood are the important concerns which will be able to remove the poverty. Villagers will be more educated, development of the foundation education among children will be done, and last but not the least child marriage, dowry system and social evils will be ended","Number of women, who are living below poverty line, will be reduced. By the help of SHG, poor village women will get better quality of life and livelihood, which will be helpful to increase the socially and economically women empowerment. As a result, the future will be bright of these 500 women and their families","Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/rescue/,Rescue 615 sex workers & at-risk children in India,Snehalaya 'Home of Love',161436,195450,1861,"This project in rural India works with Childline to provide emergency rescue operations and aftercare for 615 at-risk women and girls - sold into sex work, affected by HIV/AIDS and fleeing violence - each year. 'Snehalaya' meaning 'Home of Love' offers a safe exit point and full aftercare - shelter, free legal/medical/psychiatric support, education and rehabilitation ensuring sustained social change. Your donation gives an emergency safety net and long-term support to vulnerable women and girls.","In 2017, Reuters ranked India the fourth most dangerous place to be a woman. Indian girls face many forms of violence, including: child marriage, dowry deaths, domestic violence and rape. Amnesty International (2016) reports that crimes against women and girls in the country are continuing to rise. Last year alone there were 675 rapes of minor girls reported in Mumbai. In just the last few months India has been rocked by a number of brutal gang-rapes.","The project will allow us to rescue, shelter and rehabilitate 615 women and girls. Our support ensures positive change for those most at risk, including sex workers, domestic violence survivors and young girls vulnerable to predators. By empowering them through education and vocational skills, legal paperwork, health check-ups and support for their families, our women and girls often go on to become social workers and nurses thriving at helping women just like them.","Snehalaya enables girls to become agents for social change, breaking the crippling cycles of poverty in India for themselves. We provide emergency rescue and rehabilitative care for sex workers, often minors themselves, and their children. We provide our beneficiaries safety, shelter, education, medical and legal aid, outreach support, peer mentoring and path finding reintegration.We are dedicated to implementing social and political change, challenging gender barriers and changing norms.","Ahmednagar, Maharashtra - India",http://www.snehalaya.org,https://www.facebook.com/snehalaya,https://twitter.com/Snehalaya
https://www.globalgiving.org/projects/adopt-a-tree-protect-environment-and-earth/,Adopt a Tree; Protect Environment & Earth,Rajasthan Samgrah Kalyan Sansthan,10805,12500,235,"This project is prepared to Give Reality on the ground to 5000 plantation for environmental protection. A strong effort will be done in different urban, sub-urban areas and villages by plantation to reduce the dangerous threat of global warming, which would be helpful to reduce air pollution to make healthier environment.","According to the report of UNO, around 9 hectares forest has been reaped in every minute between 1990- 2005 around the world and trees are reaped in every year in 5 million hectare areas. This is a signal of a major threat for all nations.  The whole world is facing the problem of global warming due to regular cutting of trees at huge level. Even though many species of animals are also at extinct stage. Every year around 5 lac people are dying due to different air pollution causes.","The problems of global warming, climate change and air pollution can be reduced through plantation by some extent. In this project, 5000 trees( Neem, papal, saal, rosewood, banyan, Fruit & flowering plants)  will be cultivate and maintained regularly in different rural and urban areas of Ajmer district.  There would be proper arrangement of water and fertilizer. People will be encouraged to adopt trees and take care of them as their children.","Polluted environment and air will be pure which would be helpful to reduce the number of death occurs from asthma, pneumonia and breath related other diseases. Plantation may not be a sole remedy to reduce global warming but yes, it can be a strongest strategy among all other options.  Environment will be effectively pollution free at huge level. More greenery will be spread and rain will be better.","Ajmer, India, Rajasthan - India",http://www.rsksindia.ngo,https://www.facebook.com/rsksindia,https://twitter.com/RSKSINDIA
https://www.globalgiving.org/projects/train-women-to-earn-and-live-break-poverty/,Train Women to Earn & Live. Break poverty.,"Community Health, Housing and Social Education (CHHASE)",31331,40000,562,"This project will remove the restrictions and denied right to education against women and girls and We will empower disadvantaged 3000 women and girls yearly through imparting skill training, computer training's, educational scholarships and Self-help groups, which will help to generate an income for their families and give a better chance of survival.","Investment in women and girls, is a proven path to reduce poverty. They are disadvantaged when it comes to employment, education, and work skills. The right to education denied to girls & women in rural areas still exists. They are also abused sexually, physically, mentally and psychologically. CHHASE equipped to empower women and girls through sewing, embroidery and computer training to give them a better tomorrow, by promoting equality in the society.","Training in sewing, embroidery, computers and educational scholarship to women and girls will enable them to avail jobs opportunities in industries or set their own micro business. Also S.H.G. savings is to meet emergency needs on mutual help.","CHHAASE aims to improve economic status of women and their families through business skills and education. The secret of training is to empower, restore and regenerate women and improve their status. We have provided training's to 12000+ women so far.","Tiruvallur District, Tamilnadu - India",http://www.chhaseindia.org/,"https://www.facebook.com/Globalgiving,globalgiving.uk",
https://www.globalgiving.org/projects/education-and-hope-for-50-orphans-children-in-india/,Education & hope for 50 orphan children in India,Reaching Hand,87975,150000,876,"This project will give hope to 50 orphans of Reaching Hand children's home enabling them to continue their studies in an English medium school, provide further computer training, life skills, extra curricular activities and career guidance to strengthen their dreams of becoming leaders & productive citizens of India. The goal of the project is to make &quote;Today's Destitute into Tomorrow's Leader&quote;. We have a long term plan to reach out to 500 children aged between 7-18 years through this project.","According to UNICEF in 2018, India has an astounding 29.6 million orphaned and abandoned children. Orphans are put at immediate risk because they are often seen as a burden on relatives. Moreover, with the death of a parent, children experience profound loss and a heavy burden. These children are in danger of losing opportunities for school, health care, growth, development, nutrition, and shelter; in short, their rights to a decent and fulfilling life and future.","REACHING HAND has been supporting abandoned and neglected children develop educationally, socially, and emotionally as they prepare to step into their young adulthood and make a future for themselves.  New Home does this by providing safe accommodation, quality education, nutritious food, necessary health care, emotional support, and life skills engagement so that they become independent & responsible future citizens of society.","Currently, 'New Home' caters to the need of 55 children irrespective of different caste, creed, gender or religion by providing equitable and all inclusive facility for their overall development . We also plan to develop in these children public speaking and oratory skills and prepare them for a brighter future. Our future plans is to setup a well equipped school campus and educate many more children of age group 7-18 and welcome them into our HOME to achieve our dream of 500 boys and girls.","Bangalore, Karnataka - India",http://www.reachinghand.org,,
https://www.globalgiving.org/projects/lessprivilege-elder-need-love-care-and-meal-support/,Less Privileged Elders Need Care & Meal Support,"Community Health, Housing and Social Education (CHHASE)",39752,50000,646,"The less privileged elders need our love and care. This project will provide meal, medical care and recreation to 57 homeless old age persons. Every day we provide nutritious food to destitute elder, who are neglected by their families. Due to poverty some families not able to feed these older persons. Among 57 poor old age persons, some of them use to beg at neighbor houses, nearby locations to feed themselves. Our little contribution to the elderly make their world healthy and happy","The 57 neglected elderly persons are suffering with starvation, ill-health in our project area. The age group of these older people is 65 to 80 years. Sometimes they used to beg on the streets to feed themselves. Their pathetic condition forced us to feed them with nutritious meals to keep them healthier. Most of them are having anemic problem due to lack of food and medical care. Most of them are not having home and sleeps at neighbor houses, school verandas, and community halls and at bus stop","This project solves the problem by providing every day nutritious meals and medical care to 57 elderly people. We provide Vegetarian meal with egg, rasam, curd and vegetable curry. Such meal are easy to digest and healthy too. Their health condition of destitute elderly persons has been improved. we provide recreation facility. We ask them to share stories among themselves,so that they will feel that they are all one family. We also provide clothing & blankets to the destitute elderly person","CHHASE will stop starvation among destitute elderly people in Tiruvallur & Tiruvannamalai Districts of Tamil Nadu. The hamlets surrounding tirumanikuppam, Thirupandiyur, Vayalur and susaipuram, 57 older people get timely nutritious food and medical care. Eldery persons living conditions & life span will increase. 57 old age persons able to eat nutritious food and medicines in time without depending on others. The perception of the community on caring old age people will build positively.","Tiruvallur District, Tamilnadu - India",http://www.chhaseindia.org/,"https://www.facebook.com/Globalgiving,globalgiving.uk",
https://www.globalgiving.org/projects/girls-health-and-hygiene-in-india/,Support for menstrual health for girls in India,Indian Dreams Foundation,32071,150000,319,"Through the Smiley Days project, IDF will help 5000 girls and women in overcoming the social barriers associated with menstruation. By providing them with the right information, products and facilities, we will ensure an equal opportunity for girls across India whilst contributing to reach 4 key Global Sustainable Development Goals.","These girls face: Fear and shame caused by cultural myths/taboos and lack of information, lack of funds to source proper sanitary products, defaulting to unhygienic alternatives, lack of privacy by being forced to share toilets with boys, gynecological issues and infections which can lead to early death and early marriages and pregnancies.","Our strategy will be three fold:   1. Educating - develop workshops to educate girls (from 11 to 20) on biology and hygiene best   practices, provide counseling sessions and distribute informative booklets   2. Providing  - distribute sanitary products and build new toilet facilities for girls    3. Engaging  - engage family members, schools and specialists to increase outreach","In our targeted areas, we hope to be able to: decrease school drop out rate from girls, decrease use of unhygienic alternatives, increase access to affordable sanitary products, increase number of toilet facilities, specifically with separation for girls, increase knowledge and awareness on menstrual hygiene, decrease level of exclusion and feelings of shame/fear for girls","Agra, Uttar Pradesh - India",http://www.idf4all.org,https://www.facebook.com/idf4all/,
https://www.globalgiving.org/projects/empower-priti/,"Empower girls like Priti in slums in Pune, India",Karuna Trust,114784,120000,633,"13 year old Priti lives in Burma Cell, a slum of corrugated iron huts in the suburbs of Pune. This empowerment project helps 1,100 girls like Priti take control of their lives each year.  Confidence is the key to escaping the poverty cycle of illiteracy, child-labour, child-marriage and ill-health that these girls are trapped in. This project provides the girls with the skills and confidence to engage in society and it challenges traditional views and stereotypes about gender roles.","The project has been established to support and empower adolescent girls like Priti aged 13 to 21, many of whom have dropped out of formal schooling. Discriminatory values in society and a lack of education, low self esteem and poor communication skills contribute to restricting these young women to their homes within the slums. These girls are often married at a young age (under 18) and often experience domestic violence. Health is poor in this group, largely due to lack of nutrition.","The project provides girls with essential life skills - communication, statutory rights, dealing with domestic violence, literacy and numeracy support. Young women are given vocational skills training enabling them to have an independent income and thus more influence in the home. Health check programs address diseases common in slums and raise awareness of menstruation and reproductive health.  Girls are taught about good nutrition and hygiene in order to maintain long-term health.",These girls are the women and mothers of the future. If left to be ignorant of their rights they are destined to be subject to abuse and discrimination. The long term impact expected is a change in societal attitudes towards women and an uplift of women and their families in these slums.,"London, England - United Kingdom",http://www.karuna.org/,https://www.facebook.com/karuna.org,
